x;H
39857.08150363834;11.07
39652.35721746685;11.06
39456.54066950221;11.05
39242.139211431844;11.04
39042.1830324777;11.03
38834.04699129111;11.02
38616.93852808133;11.0
38421.161253788;10.98
38204.485376192504;10.96
38012.18436703256;10.94
37809.405648178115;10.93
37581.52468757078;10.92
37381.92331193584;10.92
37180.21468989416;10.91
36961.82476095135;10.88
36753.28634468348;10.87
36555.30349283772;10.85
36355.26300265278;10.84
36160.69139553397;10.83
35944.21281799943;10.81
35741.70783322475;10.8
35544.88133535598;10.79
35350.20850440988;10.77
35148.620813340676;10.77
34946.62851466125;10.74
34738.38743404468;10.71
34544.34821039879;10.7
34348.98332128575;10.67
34149.89051002056;10.65
33929.2897909287;10.64
33716.84597917902;10.64
33520.87786864712;10.62
33297.86475787067;10.58
33095.507416394874;10.56
32902.3058712737;10.52
32695.818645607753;10.46
32491.46325781806;10.36
32295.822836929918;10.23
32089.867067084662;10.19
31896.047866513516;10.18
31698.321367406214;10.15
31460.975038605233;10.13
31243.346127313256;10.09
31038.34431056351;10.06
30839.21731192172;10.02
30630.973814140074;10.01
30413.694178138016;10.01
30213.583799405154;10.0
30009.085541045744;9.99
29802.39663664873;9.97
29607.505127538563;9.96
29398.381286389922;9.96
29203.122281280826;9.95
28990.168806167785;9.94
28791.742784700065;9.91
28581.48732505826;9.87
28376.31164711078;9.87
28176.730945258256;9.86
27968.342730124074;9.85
27748.21702326236;9.84
27526.513170887512;9.82
27314.646994091498;9.81
27092.45045854272;9.79
26900.8688902079;9.75
26681.937477959887;9.7
26496.661920335842;9.67
26290.600841640233;9.65
26085.15272893227;9.64
25880.28229735745;9.63
25706.447762804062;9.61
25468.05070200478;9.6
25276.935625233993;9.59
25074.42014278144;9.57
24861.59908564943;9.56
24668.96855412751;9.56
24483.241430090406;9.55
24255.366344822338;9.54
24063.52163974225;9.53
23878.108117392258;9.52
23676.672143566204;9.51
23451.783077299784;9.5
23240.92304717838;9.48
23047.966861950394;9.46
22859.175653248807;9.45
22639.534935341944;9.44
22444.20040877261;9.43
22241.272248873967;9.41
22043.347764058242;9.39
21844.569200365542;9.37
21624.212905552864;9.36
21426.460587938767;9.35
21218.093521434464;9.35
21012.32989989342;9.34
20814.011069075845;9.33
20618.680521240545;9.31
20415.286414760558;9.28
20205.283507958462;9.27
20006.120827170555;9.26
19809.491344467504;9.25
19604.83103851514;9.24
19406.057620671956;9.23
19190.598739785462;9.22
18999.54696699434;9.21
18811.84662325005;9.2
18606.29472757592;9.18
18383.06933419715;9.16
18188.872784799372;9.15
17980.236077853086;9.14
17763.40594969719;9.13
17563.043513292898;9.12
17343.905572917094;9.12
17154.606850549724;9.11
16939.62463761607;9.09
16731.133071875316;9.08
16530.017233856095;9.07
16319.392902607186;9.05
16119.41146250056;9.02
15926.239599342603;9.0
15731.950762648048;8.99
15535.958404423523;8.98
15324.224708697642;8.97
15108.73172020883;8.96
14914.886654624104;8.95
14707.401805955626;8.93
14492.665527855715;8.91
14285.267792290251;8.89
14088.146505332668;8.86
13892.771584346134;8.84
13707.569145729853;8.83
13460.599654045043;8.81
13278.675744397537;8.8
13077.148001378344;8.78
12891.90106508712;8.77
12683.677085692354;8.75
12481.328849870479;8.71
12282.506395705946;8.7
12088.993602624425;8.67
11879.083820304804;8.66
11641.247128886433;8.64
11432.847236008878;8.63
11217.93273627109;8.62
11003.426106592087;8.6
10801.457022979914;8.59
10597.778797533509;8.57
10391.791831166978;8.55
10206.22435566454;8.51
9984.477901725302;8.48
9804.249379253131;8.47
9596.714186136378;8.44
9386.573641108902;8.42
9167.440879178379;8.41
8968.148496490088;8.39
8765.49963489655;8.37
8562.087883771834;8.33
8352.410724673973;8.29
8156.691567338508;8.25
7951.535267448635;8.22
7734.119117685012;8.19
7540.571397882653;8.17
7354.094011168607;8.16
7128.875941627775;8.14
6937.6982967912045;8.11
6730.4852923711005;8.08
6536.343984312611;8.07
6332.324189999024;8.05
6124.835421806318;8.02
5923.377291973826;7.99
5719.522824801097;7.97
5523.93366876748;7.94
5310.392458945949;7.93
5102.932211107021;7.92
4877.216668375186;7.91
4677.995495623909;7.89
4452.477980623458;7.86
4229.5003879881115;7.84
4039.417836192879;7.83
3819.551220127294;7.81
3608.340981376474;7.76
3395.968855072453;7.74
3201.9647688774567;7.72
2996.152133046504;7.68
2793.008280011185;7.66
2599.747312845255;7.65
2383.1588130314776;7.63
2179.344286066189;7.6
1982.2363768260693;7.59
1764.4092035747599;7.57
1560.1899810629257;7.55
1354.8338251046662;7.52
1161.9655025838874;7.5
967.5194080103829;7.46
731.7588148814684;7.45
526.7843091138348;7.44
325.03923879825743;7.42
100.0;7.39
0.0;7.376668991523343
