x;W
98774.04944408263;140.845843
98554.1686423279;134.704726
98352.26011822333;132.09069
98150.22813654332;148.150786
97952.20269836477;149.926526
97738.48882119349;153.498349
97543.83677386196;157.15598
97325.66832304087;128.540647
97123.39298213049;134.177083
96914.73693434216;144.885237
96709.75700107781;135.220777
96505.84950097278;152.382807
96306.06850171748;133.660868
96067.99539185771;160.796754
95873.08135892142;170.02724
95673.60931296455;157.667216
95469.18247144553;151.6426
95260.37688885283;160.300001
95064.37890758106;152.886813
94865.6812825292;179.465998
94655.0549311599;205.556351
94460.01990929098;194.189079
94255.1569856772;144.738113
94048.86875223566;138.493211
93847.70533865973;151.106109
93648.5901052762;146.762316
93434.41305816386;165.598393
93235.73753984402;138.931613
93031.37108478557;192.027502
92831.77024458504;167.32544
92621.37041416287;155.61871
92418.66014006491;179.496442
92220.473897699;212.572757
92023.26960264653;228.249152
91825.76164860398;198.238525
91614.3107749459;167.492867
91409.89761848672;150.273003
91214.20699707582;166.694316
91025.66522605636;149.062627
90814.88765748727;150.466097
90612.60323025243;145.911058
90417.77912713533;168.733664
90208.91249283723;154.234852
89994.5946449988;168.63977
89806.32114483335;214.540636
89603.35216570667;203.969266
89395.77346254149;179.171229
89191.71919077772;157.985018
88983.99067177714;120.993786
88767.28062879015;108.737557
88551.7373431478;176.407373
88353.34598345862;183.779192
88155.01189434007;151.255833
87939.22946483304;145.322934
87738.85300688067;156.111471
87548.18970427905;161.729994
87343.17108264081;166.635689
87135.28291242216;171.129298
86943.43699816705;159.385243
86725.8243656867;126.581007
86497.23963484165;159.536292
86301.80981060657;151.955171
86102.82880803148;126.949985
85889.29066501395;115.19875
85689.03576424363;142.541741
85498.7244022766;134.018923
85295.8020006582;127.604097
85087.0058490808;166.405571
84902.72090590364;182.077636
84685.03116537064;166.92387
84491.11614183504;170.281988
84291.6944430626;136.568655
84082.7005267562;128.195662
83880.26709421571;140.674502
83677.9146910962;169.70739
83484.41608225956;141.516405
83280.46251366951;138.604093
83061.43938466065;105.506649
82853.26311457087;124.166767
82664.94269834478;156.885411
82457.43641119366;114.503651
82242.92079972781;123.079412
82041.37979996666;145.480633
81834.97769483324;189.761552
81645.93397705234;162.386934
81444.96084409457;138.596624
81229.54409445252;155.682493
81017.53104656699;174.535237
80815.59606827261;151.634261
80618.28388994402;173.577608
80417.55062606308;136.584328
80212.04507081388;135.097513
80010.84746331735;129.265026
79815.98599083316;134.043053
79609.16402653075;122.778857
79406.80267183331;114.102494
79208.89766833498;117.979456
78995.08616888711;150.412676
78806.40632573108;143.372062
78606.19306496644;106.283697
78400.95911683384;87.120163
78195.23986610692;93.030705
77997.34131314767;105.624471
77786.60569946448;113.125442
77589.43334885598;136.292444
77369.23582229242;169.83771
77188.69644939872;161.213023
76977.99627953143;130.345943
76766.57250351268;121.916246
76561.29938219379;141.39379
76369.32629072267;128.250697
76161.33179303205;131.640788
75956.30284732589;173.645536
75770.43882367661;123.679924
75555.42049351652;86.244272
75336.16823362827;88.573908
75148.096132914;94.804431
74951.35426813428;93.713662
74756.56906431382;103.423978
74549.38540694793;100.200789
74340.92255619832;83.933697
74142.72611065881;120.902958
73939.07001159499;178.353619
73743.6979272116;170.046596
73531.35270091376;139.306282
73336.60288039665;124.954698
73134.77292550975;166.681065
72898.81362412908;177.978792
72667.87771357587;165.902953
72422.4816088658;296.244987
72204.25999746987;275.504215
71980.26093361794;126.747824
71754.85081015146;133.140204
71569.25112913165;114.465891
71361.34782786152;120.814589
71155.60781042321;107.17154
70961.04371536488;125.609355
70744.11298946192;135.138039
70543.9490777264;122.368818
70343.4869675722;93.825031
70121.15731102187;97.078979
69921.38622743772;94.364316
69735.67668573727;94.287371
69511.48359740914;51.033724
69311.96258061164;35.256487
69068.66623018302;43.634175
68879.53456334135;64.709817
68692.68467250616;84.69297
68495.0164459829;132.020001
68310.18326322702;124.936556
68102.7889051948;110.211711
67893.13279711688;104.1701
67695.34065930899;106.641989
67501.7291684125;101.319462
67288.97074933471;85.538952
67091.85900193194;104.630572
66888.0372845981;135.695292
66689.13870859452;151.362152
66495.26331429924;121.738026
66297.45340623807;135.418316
66087.91989790623;140.935686
65890.26011947524;158.482384
65691.91502512747;164.009026
65494.857165697525;135.109884
65287.90614187393;128.019173
65093.01766236847;104.606738
64872.02651546993;99.806658
64635.53255166537;85.524639
64459.64808468369;104.861359
64244.56374103838;114.472191
64032.67129056157;98.259778
63833.780798645894;104.774993
63613.62438240458;113.054991
63427.80038927242;126.156603
63213.553338404;133.554445
63032.57097339869;115.205687
62800.15575751432;82.188389
62607.62819950386;141.524101
62413.56879220708;129.617625
62195.83177948692;117.23195
61997.91437139803;136.553534
61799.801549747004;176.557588
61584.9672058032;109.356898
61369.86417314477;125.279451
61193.114678129554;134.080524
60986.19117080445;120.531431
60774.39220705899;121.450383
60581.402592988816;134.710953
60375.93430202911;153.861587
60176.733967578315;149.911387
59982.478044196876;133.855866
59770.22986696848;116.772613
59563.56727550505;108.764514
59367.859940255425;141.589836
59161.782067956156;98.270447
58948.65020893303;96.715191
58726.458987214224;133.576955
58509.19677182444;163.913939
58281.037950703365;141.842731
58048.70076860678;143.03893
57848.65847915516;130.95525
57617.5553802479;92.559434
57369.29588894088;84.209368
57177.633627021205;144.182516
56963.13991289926;124.508446
56750.214897538186;117.544399
56542.3874697024;133.53375
56357.588341491995;115.745033
56135.43107074461;103.30937
55900.790597481886;114.891932
55663.53688663624;114.330965
55455.366457028504;126.734944
55232.093421419355;84.416683
55022.31603871433;98.143807
54842.57619915997;102.583675
54641.99310636922;96.489578
54431.778287946814;98.434954
54232.42579877567;105.435736
54020.237377897225;100.710049
53820.61950124451;97.934734
53630.615910955574;105.946458
53430.0522782632;104.747254
53220.35925663663;117.141803
53018.82927302607;105.844324
52823.684131686765;93.91857
52633.91484262128;103.029943
52431.78807177677;85.098809
52225.100620248064;111.954546
52018.3031893313;113.269458
51826.87175268617;99.791587
51617.27445521703;112.254746
51410.99666195204;99.389248
51212.31533078468;89.926276
51009.044099937615;88.710478
50806.250439000476;95.823281
50609.913270080026;98.944647
50407.45633895804;109.331516
50195.36248983166;116.980529
49993.97682220294;109.415846
49791.88631283319;86.74097
49582.75427056759;97.451567
49398.21700118507;92.794677
49210.081537141945;91.594551
48996.79402686487;93.222953
48793.76459019029;88.642518
48596.62330639857;97.073933
48398.294076843085;74.471859
48203.59927809972;96.109066
47975.722077523766;88.49788
47787.52737240073;92.481745
47581.63388506838;90.162684
47368.593671181705;124.802067
47168.60849711718;129.56044
46966.48099016545;101.765418
46755.14125512667;103.234089
46567.99030337061;105.594505
46335.21948177229;105.404111
46137.69460506481;112.100398
45938.94560160351;107.633116
45728.917609276235;104.278653
45499.50403881367;76.843056
45291.519372297116;103.320904
45090.30558403552;91.852887
44901.45980164778;92.264332
44705.12067225919;100.782652
44499.13331710677;102.338086
44287.42454626069;105.001181
44077.7740402989;91.742899
43883.906193973264;83.208024
43666.909762835785;99.612246
43465.0594088183;95.536081
43276.78450840882;103.416249
43068.939548099894;89.09889
42872.23248078828;106.441798
42672.845650704636;109.201452
42470.80361114035;104.914634
42264.97209071477;100.422407
42066.22348764462;97.400938
41868.5284580837;101.392521
41662.51907111899;91.668424
41457.19416272592;112.346361
41258.87666828417;107.235633
41052.37217265993;98.902075
40849.99188100292;103.090998
40657.362326180984;93.829258
40455.060624003105;105.82327
40245.76577224146;102.373457
40055.27876715563;108.847419
39857.08150363834;96.27694
39652.35721746685;101.948966
39456.54066950221;102.423203
39242.139211431844;96.159298
39042.1830324777;103.620307
38834.04699129111;96.960554
38616.93852808133;77.635984
38421.161253788;95.022347
38204.485376192504;74.289006
38012.18436703256;93.154912
37809.405648178115;97.612353
37581.52468757078;97.821044
37381.92331193584;102.802378
37180.21468989416;106.715376
36961.82476095135;117.78057
36753.28634468348;101.066423
36555.30349283772;97.361984
36355.26300265278;98.814236
36160.69139553397;93.793918
35944.21281799943;100.78041
35741.70783322475;90.117213
35544.88133535598;102.864785
35350.20850440988;107.698441
35148.620813340676;102.658437
34946.62851466125;91.732388
34738.38743404468;83.747297
34544.34821039879;104.819483
34348.98332128575;120.244467
34149.89051002056;131.836395
33929.2897909287;117.825416
33716.84597917902;114.082048
33520.87786864712;152.23614
33297.86475787067;140.591962
33095.507416394874;151.214406
32902.3058712737;138.198047
32695.818645607753;159.475034
32491.46325781806;175.816965
32295.822836929918;185.503401
32089.867067084662;174.297954
31896.047866513516;146.821727
31698.321367406214;130.448363
31460.975038605233;127.950142
31243.346127313256;119.515552
31038.34431056351;132.089351
30839.21731192172;166.167254
30630.973814140074;122.987959
30413.694178138016;102.657714
30213.583799405154;123.34001
30009.085541045744;98.843703
29802.39663664873;112.615911
29607.505127538563;100.398896
29398.381286389922;94.249975
29203.122281280826;104.668471
28990.168806167785;104.938816
28791.742784700065;105.324864
28581.48732505826;108.075653
28376.31164711078;111.275027
28176.730945258256;98.528545
27968.342730124074;130.595733
27748.21702326236;190.333161
27526.513170887512;165.693137
27314.646994091498;145.26198
27092.45045854272;117.506715
26900.8688902079;119.023423
26681.937477959887;119.946322
26496.661920335842;107.206121
26290.600841640233;90.86953
26085.15272893227;97.866877
25880.28229735745;94.169023
25706.447762804062;90.555577
25468.05070200478;111.892317
25276.935625233993;108.382684
25074.42014278144;109.625675
24861.59908564943;94.747723
24668.96855412751;84.519809
24483.241430090406;63.687602
24255.366344822338;79.592056
24063.52163974225;83.119468
23878.108117392258;66.639029
23676.672143566204;85.13782
23451.783077299784;86.577777
23240.92304717838;83.098007
23047.966861950394;99.389729
22859.175653248807;87.057046
22639.534935341944;91.673024
22444.20040877261;87.691635
22241.272248873967;93.374322
22043.347764058242;102.643508
21844.569200365542;93.611046
21624.212905552864;100.162016
21426.460587938767;78.302205
21218.093521434464;91.114104
21012.32989989342;97.265843
20814.011069075845;88.500556
20618.680521240545;82.442062
20415.286414760558;91.312457
20205.283507958462;91.594606
20006.120827170555;85.799958
19809.491344467504;91.794962
19604.83103851514;89.016873
19406.057620671956;104.19978
19190.598739785462;96.735903
18999.54696699434;102.325795
18811.84662325005;95.000619
18606.29472757592;123.254459
18383.06933419715;95.027412
18188.872784799372;94.322719
17980.236077853086;121.951758
17763.40594969719;137.408894
17563.043513292898;142.659905
17343.905572917094;109.772479
17154.606850549724;110.566299
16939.62463761607;98.253042
16731.133071875316;91.682836
16530.017233856095;84.218381
16319.392902607186;88.508258
16119.41146250056;88.691489
15926.239599342603;77.203314
15731.950762648048;82.146923
15535.958404423523;77.582931
15324.224708697642;92.618314
15108.73172020883;72.727982
14914.886654624104;87.842216
14707.401805955626;76.572957
14492.665527855715;85.850489
14285.267792290251;94.560188
14088.146505332668;103.675807
13892.771584346134;77.927446
13707.569145729853;70.961195
13460.599654045043;73.935768
13278.675744397537;89.263801
13077.148001378344;85.618105
12891.90106508712;89.986894
12683.677085692354;97.364216
12481.328849870479;90.764797
12282.506395705946;82.36834
12088.993602624425;83.919156
11879.083820304804;90.71159
11641.247128886433;82.474408
11432.847236008878;90.774007
11217.93273627109;69.904877
11003.426106592087;83.564355
10801.457022979914;97.253022
10597.778797533509;72.526237
10391.791831166978;79.140375
10206.22435566454;69.410863
9984.477901725302;79.635779
9804.249379253131;81.851668
9596.714186136378;79.444837
9386.573641108902;72.94427
9167.440879178379;90.251637
8968.148496490088;92.136784
8765.49963489655;82.578107
8562.087883771834;86.883773
8352.410724673973;85.820029
8156.691567338508;79.390002
7951.535267448635;89.690313
7734.119117685012;91.406905
7540.571397882653;82.160302
7354.094011168607;78.877317
7128.875941627775;94.579523
6937.6982967912045;61.298007
6730.4852923711005;90.717931
6536.343984312611;77.408861
6332.324189999024;94.338456
6124.835421806318;99.784924
5923.377291973826;100.278771
5719.522824801097;94.382051
5523.93366876748;92.248787
5310.392458945949;87.976007
5102.932211107021;86.884865
4877.216668375186;88.452108
4677.995495623909;74.437224
4452.477980623458;97.585066
4229.5003879881115;132.615488
4039.417836192879;107.213079
3819.551220127294;86.411707
3608.340981376474;91.68972
3395.968855072453;84.566756
3201.9647688774567;86.680959
2996.152133046504;92.159308
2793.008280011185;98.458097
2599.747312845255;85.391603
2383.1588130314776;90.917225
2179.344286066189;97.535139
1982.2363768260693;82.069507
1764.4092035747599;81.249347
1560.1899810629257;95.4244
1354.8338251046662;103.865408
1161.9655025838874;97.039577
967.5194080103829;75.963314
731.7588148814684;88.907772
526.7843091138348;95.489316
325.03923879825743;74.202471
100.0;74.939456
0.0;75.26694777607231
