x;H
46137.69460506481;11.767325
45938.94560160351;11.698581
45728.917609276235;12.170625
45499.50403881367;11.515202
45291.519372297116;11.566583
45090.30558403552;11.468598
44901.45980164778;11.589399
44705.12067225919;11.679807
44499.13331710677;11.972076
44287.42454626069;11.618803
44077.7740402989;11.672556
43883.906193973264;11.726868
43666.909762835785;11.152912
43465.0594088183;11.691874
43276.78450840882;11.022919
43068.939548099894;11.919102
42872.23248078828;11.109792
42672.845650704636;11.101695
42470.80361114035;11.879122
42264.97209071477;11.556805
42066.22348764462;11.004327
41868.5284580837;11.575876
41662.51907111899;11.430728
41457.19416272592;12.094677
41258.87666828417;10.841227
41052.37217265993;11.57755
40849.99188100292;11.620835
40657.362326180984;12.043485
40455.060624003105;11.878209
40245.76577224146;11.573031
40055.27876715563;11.431041
39857.08150363834;11.20825
39652.35721746685;11.209533
39456.54066950221;11.619338
39242.139211431844;11.331887
39042.1830324777;11.270968
38834.04699129111;11.648198
38616.93852808133;11.431283
38421.161253788;10.376502
38204.485376192504;10.760711
38012.18436703256;10.830307
37809.405648178115;10.956267
37581.52468757078;11.270294
37381.92331193584;11.417654
37180.21468989416;11.077536
36961.82476095135;11.092708
36753.28634468348;10.608846
36555.30349283772;10.944512
36355.26300265278;11.127873
36160.69139553397;10.932058
35944.21281799943;11.469725
35741.70783322475;10.931737
35544.88133535598;10.86059
35350.20850440988;11.11794
35148.620813340676;10.789555
34946.62851466125;11.423356
34738.38743404468;11.273589
34544.34821039879;11.209868
34348.98332128575;11.027415
34149.89051002056;10.674618
33929.2897909287;11.002655
33716.84597917902;10.886323
33520.87786864712;10.666591
33297.86475787067;10.459184
33095.507416394874;11.076751
32902.3058712737;11.031249
32695.818645607753;10.489007
32491.46325781806;10.771275
32295.822836929918;10.361187
32089.867067084662;10.403822
31896.047866513516;10.215025
31698.321367406214;10.391319
31460.975038605233;10.474357
31243.346127313256;11.004579
31038.34431056351;10.469118
30839.21731192172;10.619449
30630.973814140074;10.204179
30413.694178138016;10.053871
30213.583799405154;10.191908
30009.085541045744;9.897952
29802.39663664873;10.42362
29607.505127538563;10.395195
29398.381286389922;10.025097
29203.122281280826;9.977379
28990.168806167785;10.659445
28791.742784700065;10.113014
28581.48732505826;10.289236
28376.31164711078;10.11022
28176.730945258256;10.145028
27968.342730124074;10.202513
27748.21702326236;10.105157
27526.513170887512;9.71037
27314.646994091498;10.051898
27092.45045854272;9.734103
26900.8688902079;9.945564
26681.937477959887;10.013431
26496.661920335842;10.189437
26290.600841640233;10.298797
26085.15272893227;10.100289
25880.28229735745;10.05939
25706.447762804062;9.948078
25468.05070200478;9.78584
25276.935625233993;9.542904
25074.42014278144;9.652553
24861.59908564943;9.662998
24668.96855412751;9.845824
24483.241430090406;9.302702
24255.366344822338;9.603025
24063.52163974225;9.268231
23878.108117392258;9.80002
23676.672143566204;9.688607
23451.783077299784;9.547709
23240.92304717838;9.436861
23047.966861950394;9.541237
22859.175653248807;9.617209
22639.534935341944;9.610855
22444.20040877261;9.206838
22241.272248873967;10.254098
22043.347764058242;10.115787
21844.569200365542;10.146828
21624.212905552864;10.099534
21426.460587938767;9.804148
21218.093521434464;9.743042
21012.32989989342;9.834428
20814.011069075845;10.200096
20618.680521240545;9.354031
20415.286414760558;9.869093
20205.283507958462;9.147593
20006.120827170555;9.521172
19809.491344467504;9.333844
19604.83103851514;9.610254
19406.057620671956;9.53695
19190.598739785462;9.687587
18999.54696699434;9.72249
18811.84662325005;9.932865
18606.29472757592;10.187483
18383.06933419715;9.224516
18188.872784799372;9.076757
17980.236077853086;9.923348
17763.40594969719;9.280172
17563.043513292898;9.059562
17343.905572917094;9.516333
17154.606850549724;9.530905
16939.62463761607;9.797339
16731.133071875316;9.798966
16530.017233856095;8.859707
16319.392902607186;8.538916
16119.41146250056;9.05124
15926.239599342603;9.294238
15731.950762648048;9.223593
15535.958404423523;9.635839
15324.224708697642;9.067596
15108.73172020883;8.871785
14914.886654624104;9.247522
14707.401805955626;9.515693
14492.665527855715;9.720561
14285.267792290251;9.144746
14088.146505332668;8.903068
13892.771584346134;8.869981
13707.569145729853;8.768631
13460.599654045043;8.799767
13278.675744397537;8.524954
13077.148001378344;8.815514
12891.90106508712;9.325423
12683.677085692354;9.773883
12481.328849870479;9.119103
12282.506395705946;8.853986
12088.993602624425;8.644647
11879.083820304804;8.883618
11641.247128886433;9.301438
11432.847236008878;9.626426
11217.93273627109;8.719386
11003.426106592087;8.295364
10801.457022979914;9.334762
10597.778797533509;8.352094
10391.791831166978;8.410681
10206.22435566454;8.711197
9984.477901725302;8.316725
9804.249379253131;8.100511
9596.714186136378;9.163717
9386.573641108902;8.638122
9167.440879178379;8.395241
8968.148496490088;8.77921
8765.49963489655;9.533657
8562.087883771834;8.575747
8352.410724673973;8.133834
8156.691567338508;8.273642
7951.535267448635;8.408036
7734.119117685012;8.614944
7540.571397882653;8.352638
7354.094011168607;8.854247
7128.875941627775;7.767392
6937.6982967912045;8.415717
6730.4852923711005;8.224054
6536.343984312611;8.804917
6332.324189999024;8.143653
6124.835421806318;8.357347
5923.377291973826;8.339557
5719.522824801097;8.719319
5523.93366876748;7.968426
5310.392458945949;9.147824
5102.932211107021;8.023459
4877.216668375186;8.351646
4677.995495623909;8.426506
4452.477980623458;7.353894
4229.5003879881115;8.206068
4039.417836192879;8.443349
3819.551220127294;8.502232
3608.340981376474;8.208615
3395.968855072453;8.359872
3201.9647688774567;8.037716
2996.152133046504;7.976114
2793.008280011185;7.407373
2599.747312845255;7.803176
2383.1588130314776;8.016622
2179.344286066189;8.716695
1982.2363768260693;8.195227
1764.4092035747599;7.839932
1560.1899810629257;7.392083
1354.8338251046662;7.652802
1161.9655025838874;7.892715
967.5194080103829;7.619827
731.7588148814684;7.328466
526.7843091138348;7.555394
325.03923879825743;7.673369
100.0;8.120385
0.0;8.319024136173377
